1494	烫肩带实样对折*4	0.60	100			中烫
1515	整烫腰带（1米内）	0.35	100			中烫
1516	烫领朴*2	0.12	100			中烫
1530	烫下脚贴止口*2	0.50	100			中烫
1555	烫前腰朴*2	0.12	100			中烫
1556	折烫后腰（烫后打揽）	0.08	100			中烫
1566	烫袋实样*4	0.60	100			中烫
1577	烫门襟*2领*2	0.60	100			中烫
1613	整烫肩带*4	0.40	100			中烫
1614	烫贴止口*2	0.30	100			中烫
1633	烫门襟*2袋唇朴*2	0.28	100			中烫
1651	折烫下脚	0.26	100			中烫
1654	烫腰头止口*3	0.30	100			中烫
1657	烫袋	0.30	100			中烫
1696	烫中腰止口*2	0.30	100			中烫
1697	烫领朴*2领贴朴	0.26	100			中烫
1711	烫门襟朴*2	0.20	100			中烫
1727	烫袋盖朴*4	0.24	100			中烫
1728	烫袋唇朴*4	0.16	100			中烫
1729	整烫袋盖*2	0.15	100			中烫
1730	整烫面布倒骨	0.40	100			中烫
1740	烫袖袢*2	0.20	100			中烫
1744	烫筒实样对折*2	0.20	100			中烫
1789	烫门止口*2	0.30	100			中烫
1790	烫袖贴实样*2	0.36	100			中烫
1791	烫前腰实样*4后腰实样对折	0.30	100			中烫
1795	烫腰头实样对折	0.20	100			中烫
1813	烫门边实样*4	0.50	100			中烫
1818	烫领*3门筒*2袖口*2	0.36	100			中烫
1819	烫袖口实样*2	0.15	100			中烫
1826	烫单双牌朴	0.10	100			中烫
1906	烫豆腐块朴*2	0.10	100			中烫
2021	中烫打揽打气	0.20	100			中烫
2070	烫袖袢*2	0.14	100			中烫
2075	铺朴	0.14	100			中烫
2088	烫裙子门襟	0.12	100			中烫
2113	门襟*2	0.14	100			中烫
2114	烫门襟实样	0.24	100			中烫
2115	中烫袋实样*2	0.20	100			中烫
2140	铺烫门襟朴*2	0.10	100			中烫
2156	挂面*3	0.21	100			中烫
2187	烫面布肩缝侧缝*2	0.32	100			中烫
2188	烫里布肩缝侧缝*2	0.32	100			中烫
2201	后背贴	1.20	100			中烫
2294	烫袖撞布实样*4	0.60	100			中烫
2363	烫腰贴朴*3	0.15	100			中烫
2364	烫后叉止口*2	0.15	100			中烫
2376	烫筒朴*2烫筒实样对折*2	0.47	100			中烫
2402	整烫围嘴	0.25	100			中烫
2404	烫袖口*4烫朴*4	0.28	100			中烫
2405	烫袖叉*2宝剑头*2烫朴*4	0.50	100			中烫
2406	烫门筒*2烫朴*2	0.30	100			中烫
2414	烫肩带*2前后贴朴*6	0.30	100			中烫
2415	烫肩带止口*2前后贴止口*6	0.45	100			中烫
2430	烫袋唇朴*2	0.10	100			中烫
2431	烫侧缝撞布止口*2	0.34	100			中烫
2448	整烫前腰	0.06	100			中烫
2460	烫肩带两边止口*2	0.26	100			中烫
2461	烫腰头两边止口*4	0.48	100			中烫
2469	烫鼠袋止口*2	0.20	100			中烫
2491	烫腰带止口*2	0.25	100			中烫
2496	烫领朴*6	0.36	100			中烫
2501	烫腰头朴*4	0.16	100			中烫
2543	烫领朴*2	0.12	100			中烫
2544	烫袋盖朴*2	0.12	100			中烫
2546	烫腰头止口	0.15	100			中烫
2563	烫腰带朴*4	0.24	100			中烫
2564	折烫下脚止口*2	0.26	100			中烫
2565	折烫袖口止口*2	0.26	100			中烫
2577	整烫蝴蝶结、挂耳绳	0.25	100			中烫
2616	烫袋唇止口对折*2	0.26	100			中烫
2617	烫鼠袋止口	0.10	100			中烫
2618	烫帽沿撞布止口	0.20	100			中烫
2623	烫后背折	0.18	100			中烫
2636	整烫前幅折*4	0.28	100			中烫
2672	中烫整件开骨	0.65	100			中烫
2673	整烫袋子*2	0.15	100			中烫
2684	折烫袖叉止口*2	0.10	100			中烫
2702	烫腰头止口*5	0.30	100			中烫
2703	整烫侧缝装饰耳袢*2	0.15	100			中烫
2707	烫罩杯顶朴*4	0.20	100			中烫
2708	整烫罩杯顶*2	0.20	100			中烫
2738	烫钮牌朴*2	0.10	100			中烫
