252148-17	1	1		面料是整条买的，都是下单比例净裁，预算	1557567
252148-17	1	0	　	无绣印花	1557568
252148-17	2	1			1557569
252148-17	2	0	伟业纺织	编号：w7021.品名：5751#2*2酷丝棉210克，门幅160cm 克重210g，成份：95%涤5%氨纶	1557570
252148-17	2	0	色号	黑色，白色，杏色	1557571
252148-17	2	0	　	预估1条布裁130件	1557572
252148-17	3	1			1557573
252148-17	3	0	主唛	定制商标	1557574
252148-17	3	0	吊牌	定制吊牌，加客供贴纸	1557575
252148-17	3	0	包装袋	定制包装袋，加硬纸板	1557576
252148-17	3	0	　	单色单码十件一捆	1557577
252148-17	4	1			1557578
26CTX081-1	1	1		面料要缩水，正常裁。	1540839
26CTX081-1	1	0	后领印花	后领裁片印花	1540840
26CTX081-1	2	1			1540841
26CTX081-1	2	0	布行信息	布行名称:伟业 面料款号:423-5228# 布封:175CM 克重:260G 成分:46%人棉46%纯棉8%氨纶	1540842
26CTX081-1	2	0		60#花灰  2#米白 08#蓝色	1540843
26CTX081-1	2	0	　	样板花灰色订2XL	1540844
26CTX081-1	2	0	　	客人原款：26127款	1540845
26CTX081-1	3	1			1540846
26CTX081-1	3	0	主唛	定制商标	1540847
26CTX081-1	3	0	吊牌	定制吊牌，加客供贴纸	1540848
26CTX081-1	3	0	包装袋	定制包装袋，加硬纸板	1540849
26CTX081-1	3	0	　	单色单码十件一捆	1540850
26CTX081-1	4	1			1540851
26CTX097-1	1	1		面料要缩水，正常裁。	1540825
26CTX097-1	1	0	修改	捆条改成1.8cm宽的	1540826
26CTX097-1	1	0	　	夹圈网上提3cm	1540827
26CTX097-1	1	0	　	领圈改成u型领	1540828
26CTX097-1	2	1			1540829
26CTX097-1	2	0	恒嘉纺织	编号:Y2253# 品名:2*2罗纹随心裁 门幅:150cm 克重:260g 成份:93.3%粘纤 6.7%氨纶	1540830
26CTX097-1	2	0	色号	黑色，白色，	1540831
26CTX097-1	2	0	　	客人原款号：　26128款	1540832
26CTX097-1	3	1			1540833
26CTX097-1	3	0	主唛	定制商标	1540834
26CTX097-1	3	0	吊牌	定制吊牌，加客供贴纸	1540835
26CTX097-1	3	0	包装袋	定制包装袋，加硬纸板	1540836
26CTX097-1	3	0	　	单色单码十件一捆	1540837
26CTX097-1	4	1			1540838
6579童装	1	1			1564795
6579童装	1	0	　	前中有拉链。前幅两侧有拉链袋	1564796
6579童装	1	0	　	拉链头上，有拉链帽	1564797
6579童装	1	0	　	帽中要定位	1564798
6579童装	1	0	　	前幅脚边和袖口有2CM宽的橡筋	1564799
6579童装	1	0	　	　	1564800
6579童装	1	0	　	　	1564801
6579童装	1	0	　	　	1564802
6579童装	2	1			1564803
6579童装	2	0	　	面料是客人提供	1564804
6579童装	2	0	　	　	1564805
6579童装	3	1			1564806
6579童装	3	0	　	尾部安排剪线，整烫，查货	1564807
6579童装	3	0	　	不用单件包装	1564808
6579童装	3	0	　	单色单码，十件或二十件一扎，绑好，就可以安排送货	1564809
6579童装	4	1			1564810
AL136	1	1			1560395
AL136	1	0	后幅右口袋特殊车缝绣花	 Logo尺寸：高11cm宽随比例调节  Logo位置：贴口袋下3cm 绣花颜色：黑色 注意logo绣花底部贴着口袋边缘参考样式图	1560396
AL136	1	0	后幅左口袋特殊车缝绣花	  Logo尺寸：高11cm宽随比例调节  Logo位置：贴口袋下3cm 绣花颜色：黑色 注意logo绣花底部贴着口袋边缘参考样式图	1560397
AL136	1	0	前幅左口袋绣花	Logo尺寸：高3cm 宽约1cm   Logo位置 距侧边1cm 绣花颜色：8606 酒红色	1560398
AL136	2	1			1560399
AL136	2	0	面料	面料-睿航纺织 货号RH2600 97C3A 色号-No.15 深红色	1560400
AL136	2	0	贴袋设计	用本布去做，有斜口拉链需要与本布配色	1560401
