24418	TA160-2	0	0	后领	　	　	　	41.5	　	27.8	28.4	29	29.6	0	0	0	0	0	0
24418	TA160-2	0	0	脚围	　	　	　	123	　	113	118	123	128	0	0	0	0	0	0
24418	TA160-2	0	0	腰带高	　	　	　	11	　	11	11	11	11	0	0	0	0	0	0
24418	TA160-2	0	0	腰带长	修改	单条	　	85	　	97	99.5	102	104.5	0	0	0	0	0	0
24418	TA160-2	0	0	袖长	　	　	　	39	　	37	38	39	40	0	0	0	0	0	0
24418	TA160-2	0	0	袖口宽	　	　	　	39	　	37	38	39	40	0	0	0	0	0	0
24427	JQ1534S-3	0	0	领宽	寸	8 1/2		8 1/4		8	8 1/4	8 1/2	8 3/4	9	91/4	9 1/2	9 3/4	0	0
24427	JQ1534S-3	0	0	领深	　	4 1/2		4 1/2		4 1/4	4 1/2	4 5/8	4 5/8	4 3/4	4 7/8	5	5 1/8	0	0
24427	JQ1534S-3	0	0	肩宽	　	13 1/2		13 1/4		12 3/4	13 1/4	13 3/4	14 1/4	14 3/4	15 1/4	15 3/4	16 1/4	0	0
24427	JQ1534S-3	0	0	夹圈	　	22		21 1/4		20 1/2	21 1/4	22	22 3/4	23 1/2	24 1/4	25	25 3/4	0	0
24427	JQ1534S-3	0	0	小肩宽	　	2 3/4		2 5/8		2 1/2	2 5/8	2 3/4	2 7/8	3	3 1/8	3 1/4	3 3/8	0	0
24427	JQ1534S-3	0	0	袖长	　	25 1/2		25		25	25	25 1/2	25 1/2	26	26	26 1/2	26 1/2	0	0
24427	JQ1534S-3	0	0	袖肥2	靠近袖口位置			23		22 1/2	23	23 1/2	24	24 1/2	25	25 1/2	26	0	0
24427	JQ1534S-3	0	0	袖口	　	7 1/2		7 1/2		6 1/2	6 3/4	7	7 1/2	7 3/4	8	8 1/4	8 1/2	0	0
24427	JQ1534S-3	0	0	胸围	夹底到夹底	44	34	36		34	36	38	40	42	44	46	48	0	0
24427	JQ1534S-3	0	0	腰围	　	48	34	36		34	36	38	40	42	44	46	48	0	0
24427	JQ1534S-3	0	0	袖肥1	夹底位置	16 1/2	15 1/2	16		15 1/2	16	16 1/2	17	17 1/2	18	18 1/2	19	0	0
24427	JQ1534S-3	0	0	脚围	　	51	47	49		47	49	51	53	55	57	59	61	0	0
24427	JQ1534S-3	0	0	衣长	肩高点到下摆	26 1/2	25 1/2	26		25 1/2	26	26 1/2	27	27 1/2	28	28 1/2	29	0	0
24427	JQ1534S-3	0	0	前中长	　	23	21 1/4	21 5/8		21 1/4	21 5/8	23	23 3/8	23 3/4	24 1/8	24 1/2	24 7/8	0	0
24427	JQ1534S-3	0	0	后中长	　	26 1/8	25 1/8	25 5/8		25 1/8	25 5/8	26 1/8	26 5/8	27 1/8	27 5/8	28 1/8	28 5/8	0	0
24428	JQ1526-3	0	0	腰围	英寸	28	23	25		23	25	27	29	31	33	35	37	0	0
24428	JQ1526-3	0	0	臀围	腰下7寸量	38	34	36		34	36	38	40	42	44	46	48	0	0
24428	JQ1526-3	0	0	脚围*1/2	　	25	23	24		23	24	25	26	27	28	29	30	0	0
24428	JQ1526-3	0	0	前中长	　	16 7/8	16	16 1/4		16	16 1/4	16 1/2	16 3/4	17	17 1/4	17 1/2	17 3/4	0	0
24428	JQ1526-3	0	0	后中长	　	16 3/4	16	16 1/4		16	16 1/4	16 1/2	16 3/4	17	17 1/4	17 1/2	17 3/4	0	0
24428	JQ1526-3	0	0	裙长	　	16 5/8	16 1/8	16 3/8		16 1/8	16 3/8	16 5/8	16 7/8	17 1/8	17 3/8	17 5/8	17 7/8	0	0
24428	JQ1526-3	0	0	腰带长		39	35 1/2	37 1/2		35 1/2	37 1/2	39 1/2	41 1/2	43 1/2	45 1/2	47 1/2	49 1/2	0	0
24428	JQ1526-3	0	0	腰带宽		2	2	2		2	2	2	2	2	2	2	2	0	0
24428	JQ1526-3	0	0	拉链长	　	10	10	10		10	10	10	10	10	10	10	10	0	0
24428	JQ1526-3	0	0	耳仔长	　	4	4	4		4	4	4	4	4	4	4	4	0	0
24428	JQ1526-3	0	0	耳仔下面宽	　	2	2	2	2	2	2	2	2	2	2	2	2	0	0
24456	AL206	0	0	衣长	　	　	　	60	　	60	62	64	66	68	0	0	0	0	0
24456	AL206	0	0	胸围	　	　	　	58	　	58	60	62	64	66	0	0	0	0	0
24456	AL206	0	0	肩宽	　	　	　	591/2	　	59	61	63	65	67	0	0	0	0	0
24456	AL206	0	0	领宽	　	　	　	27	　	27	27.5	28	28.5	29	0	0	0	0	0
24456	AL206	0	0	下摆宽度	　	　	　	42	　	42	44	46	48	50	0	0	0	0	0
24456	AL206	0	0	上袋长度	　	　	　	　	　	18	18	18	18	18	0	0	0	0	0
24456	AL206	0	0	上斜袋宽	　	　	　	　	　	19	19	19	19	19	0	0	0	0	0
24456	AL206	0	0	下斜袋宽	　	　	　	6	　	6	6	6	6	6	0	0	0	0	0
24456	AL206	0	0	口袋高度	　	　	　	21	　	21	21	21	21	21	0	0	0	0	0
24456	AL206	0	0	下斜袋长度	　	　	　	26	　	26	26	26	26	26	0	0	0	0	0
24456	AL206	0	0	帽高	　	　	　	35	　	35	35.6	36.2	36.8	37.4	0	0	0	0	0
24456	AL206	0	0	帽宽	　	　	　	　	　	27	27.7	28.4	29.1	29.7	0	0	0	0	0
24456	AL206	0	0	下摆罗纹高度	　	　	　	6	　	6	6	6	6	6	0	0	0	0	0
24456	AL206	0	0	袖口罗纹高度	　	　	　	6	　	6	6	6	6	6	0	0	0	0	0
24486	JQ296-44	0	0	　	　	　	　	　	　	　	0	0	0	0	0	0	0	0	0
24486	JQ296-44	0	0	　	　	　	　	　	　	　	0	0	0	0	0	0	0	0	0
24486	JQ296-44	0	0	　	　	　	　	　	　	　	0	0	0	0	0	0	0	0	0
24497	JQ1628-2	0	0	　	　	　	　	　	　	　	　	　	　	0	0	0	0	0	0
24497	JQ1628-2	0	0	　	　	　	　	　	　	　	　	　	　	0	0	0	0	0	0
24503	ma038	0	0	腰围	　	cm	　	87	　	34	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	内长	　	　	　	81	　	32	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	裤脚口围	　	　	　	67	　	13	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	裤长	　	　	　	112	　	　	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	前浪长				30		0	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	后浪长				42.5		0	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	拉链长				14		0	0	0	0	0	0	0	0	0	0
24503	ma038	0	0	　	　	　	　	　	　	　	0	0	0	0	0	0	0	0	0
24512	PDDW252-1	0	0	后中长	　	　	　	　	　	59.5	60.5	62	63.5	0	0	0	0	0	0
24512	PDDW252-1	0	0	胸围	　	夹下。全围	　	　	　	88	92	98	104	0	0	0	0	0	0
24512	PDDW252-1	0	0	腰围	　	全围	　	　	　	72	78	82	88	0	0	0	0	0	0
24512	PDDW252-1	0	0	　	　	　	　	　	　	　	　	　	　	0	0	0	0	0	0
24512	PDDW252-1	0	0	　	　	　	　	　	　	　	　	　	　	0	0	0	0	0	0
24522	KK288-1	0	0	衣长	　	肩高点量	　	66	　	62	64	66	68	0	0	0	0	0	0
24522	KK288-1	0	0	胸围	　	夹下2cm	　	63	　	58	60.5	63	65.5	0	0	0	0	0	0
24522	KK288-1	0	0	肩宽	　	　	　	54	　	52.1	53.3	54.5	55.7	0	0	0	0	0	0
24522	KK288-1	0	0	脚围	　	拉量	　	62	　	56.5	59	61.5	64	0	0	0	0	0	0
24522	KK288-1	0	0	脚围	　	松量	　	45	　	40	42.5	45	47.5	0	0	0	0	0	0
24522	KK288-1	0	0	袖口高	　	　	　	　	　	3	3	3	3	0	0	0	0	0	0
24522	KK288-1	0	0	袖口宽	　	橡筋完成	　	　		18	19	20	21	0	0	0	0	0	0
24522	KK288-1	0	0	袖长	　	不包括袖口螺纹	　	63.5	　	61.5	62.5	63.5	64.5	0	0	0	0	0	0
24522	KK288-1	0	0	领宽	　	　	　	24	　	22.8	23.4	24	24.6	0	0	0	0	0	0
24522	KK288-1	0	0	帽高	　	　	　	37	　	35.8	36.4	37	37.6	0	0	0	0	0	0
24522	KK288-1	0	0	帽宽	　	领口处量	　	26	　	24.6	25.3	26	26.7	0	0	0	0	0	0
24522	KK288-1	0	0	夹圈	　	　	　	30	　	27.6	28.8	30	31.2	0	0	0	0	0	0
24522	KK288-1	0	0	脚口高	　	　	　	3	　	3	3	3	3	0	0	0	0	0	0
24522	KK288-1	0	0	肘围	　	肩线下来23cm处量	　	26	　	25	25.5	26	26.5	0	0	0	0	0	0
24522	KK288-1	0	0	口袋长	　	　	　	20.5	　	18.7	19.6	20.5	21.4	0	0	0	0	0	0
24522	KK288-1	0	0	口袋袋唇宽	　	　	　	5	　	5	5	5	5	0	0	0	0	0	0
24522	KK288-1	0	0	口袋袋唇距离拉链位置	　	　	　	　	　	14.3	14.9	15.5	16.1	0	0	0	0	0	0
24522	KK288-1	0	0	内里口袋唇宽	　		　	　	　	2.5	2.5	2.5	2.5	0	0	0	0	0	0
24522	KK288-1	0	0	内里口袋深	　	　	　	　	　	17	17	17	17	0	0	0	0	0	0
24522	KK288-1	0	0	门禁拉链长	　	　	　	　	　	54.6	56.3	58	59.3	0	0	0	0	0	0
24522	KK288-1	0	0	　	　	　	　	　	　	　	　	　	　	0	0	0	0	0	0
24535	PDDW256	0	0	裙长	　	　	　	　	　	137	0	0	0	0	0	0	0	0	0
24535	PDDW256	0	0	胸围（全围	　	　	　	　	　	80	0	0	0	0	0	0	0	0	0
24535	PDDW256	0	0	腰围（全围	　	　	　	　	　	68	0	0	0	0	0	0	0	0	0
24535	PDDW256	0	0	衣服克重	　	　	　	　	　	536.6	0	0	0	0	0	0	0	0	0
24540	XH1720-19	0	0	肩宽	　	肩顶到肩顶量	19 1/4	15		15	15 3/4	16 1/2	17 1/4	18	18 3/4	19 1/4	0	0	0
24540	XH1720-19	0	0	领宽	　	内领骨至内领骨量	8 1/4	6 3/4		6 3/4	7	7 1/4	7 1/2	7 3/4	8	8 1/4	0	0	0
24540	XH1720-19	0	0	胸围	　	夹底平量	54	36		39	39	42	45	48	51	54	0	0	0
24540	XH1720-19	0	0	腰围	　	拼接处量	46	27 1/2		28	31	34	37	40	43	46	0	0	0
24540	XH1720-19	0	0	脚围	　	沿边量	267	261		261	262	263	264	265	266	267	0	0	0
24540	XH1720-19	0	0	衣长	　	肩顶到脚口量	47 3/4	45 1/4		45	45  5/8	46 1/4	46 1/2	47	47 3/8	47 3/4	0	0	0
24540	XH1720-19	0	0	袖长	　	袖顶到袖口量	9 1/2	8		8	8 1/4	8 1/2	8 3/4	9	9/14	9 1/2	0	0	0
24540	XH1720-19	0	0	袖口	　	平量	15 1/4	11		11	11 3/4	12 1/2	13 1/4	14	14 3/4	15 1/4	0	0	0
24540	XH1720-19	0	0	夹圈	　	弯量	25	18 1/2		19	20	21	22	23	24	35	0	0	0
24540	XH1720-19	0	0	腰带长完成	　	　	59 1/2	41 1/2		41 1/2	44 1/2	47 1/2	50 1/2	53 1/2	56 1/2	59 1/2	0	0	0
24540	XH1720-19	0	0	腰带宽	　	　	2 1/2	2 1/2		2 1/2	2 1/2	2 1/2	2 1/2	2 1/2	2 1/2	2 1/2	0	0	0
24540	XH1720-19	0	0	腰带耳仔	　	　	5 1/4	5 1/4		5 1/4	5 1/4	5 1/4	5 1/4	5 1/4	5 1/4	5 1/4	0	0	0
24540	XH1720-19	0	0	前幅缩褶尺寸	　	　	11 1/8	　		6 7/8	7 5/8	8 3/8	91/8	9 7/8	10 5/8	11 1/8	0	0	0
24540	XH1720-19	0	0	后幅缩褶尺寸	　	　	28 3/4	　		20 3/4	22 1/4	23 3/4	25 1/4	26 3/4	28 1/4	28 3/4	0	0	0
24540	XH1720-19	0	0	后腰丈根完成尺寸	　	　	21	　		13	14 1/2	16	17 1/2	19	20 1/2	21	0	0	0
24543	JQ437D-6	0	0	领宽	寸	内浪骨到内浪骨量	　	7 3/8		7 1/4	0	0	0	0	0	0	0	0	0
24543	JQ437D-6	0	0	肩宽		肩顶到肩顶量	　	15 1/4		14 1/2	0	0	0	0	0	0	0	0	0
