24146	JQ1604-2	JQ1604		主面料	成品服装7	白色	1	1	60	60	
24148	DH501S-17	DH501S	帝人纺织	主面料	帝人布行	白色(红色）	0.5	15	0	0	
24148	DH501S-17	DH501S	帝人纺织	里布	广丰纺织	白色（粉色）	0.4000000059604645	15	0	0	
24148	DH501S-17	DH501S	祥盛罗纹	面料	罗纹2X2	（配主布颜色）	0.10000000149011612	15	3	0.30000000447034836	
24148	DH501S-17	DH501S	利泰辅料	辅料	四合扣（直径1.5CM)	染主布颜色（红色配粉色）	6	3	3	18	
24148	DH501S-17	DH501S	华顺橡筋	辅料	1寸丈根	配主布颜色	0.30000001192092896	15	3	0.9000000357627869	
24148	DH501S-17	DH501S	帝人纺织	面料	帝人布行	8#黑色	0.5	15	0	0	
24148	DH501S-17	DH501S	广丰纺织	里布	广丰纺织	黑色	0.4000000059604645	15	0	0	
24149	TQ239-2-4	TQ239-2	东莞市虎门永恒拉链厂	辅料	3号尼龙闭尾拉链（尼龙7寸	配主布颜色	1	3	1	1	
24149	TQ239-2-4	TQ239-2	群兴五金扣行	辅料	摇头扣1.6CM	古铜色摇头扣	1	3	1	1	
24149	TQ239-2-4	TQ239-2	鸿利纺织	主面料	龙谊纺织	1#粉色（中间）	0.6600000262260437	10	0	0	
24149	TQ239-2-4	TQ239-2	鸿利纺织	面料	龙谊纺织	3#红色（外侧）	0.6700000166893005	10	1	0.6700000166893005	
24149	TQ239-2-4	TQ239-2	华成里布行	里布	9088 棉里布	白色	0.10000000149011612	15	1	0.10000000149011612	
24151	26CTX097	26CTX097	恒嘉纺织	主面料	2*2随心裁	黑色	2	10	1	2	
24151	26CTX097	26CTX097		辅料	橡筋	黑色1/4橡筋	1	10	1	1	
24152	JQ928D-7	JQ928D	濠泰纺织	主面料	濠泰纺织	白色	0.8999999761581421	15	1	0.8999999761581421	
24152	JQ928D-7	JQ928D	前卫衬朴	辅料	30D雪纺朴	白色	0.4000000059604645	10	1	0.4000000059604645	
24152	JQ928D-7	JQ928D	东莞市虎门永恒拉链厂	辅料	3号隐形拉链	配主布颜色	1	3	1	1	
24152	JQ928D-7	JQ928D	利泰辅料	辅料	日字扣	金色2 3/8寸宽	1	3	1	1	
24152	JQ928D-7	JQ928D	华成里布行	里布	9088 棉里布	配主布颜色	0.4000000059604645	10	1	0.4000000059604645	
24152	JQ928D-7	JQ928D	濠泰纺织	面料	濠泰纺织	白色（颜色 2）	0.8999999761581421	15	0	0	
24152	JQ928D-7	JQ928D	利泰辅料	辅料	鸡眼+胶垫	0.5CM金色	8	3	1	8	
24153	XH3046A-4	XH3046A	成丰达人造皮	主面料	成丰达人造皮	280# 粉色	1.2300000190734863	8	100	123.00000190734863	
24153	XH3046A-4	XH3046A	色丁梭织 华亚纺织	里布	色丁	白色	1.2000000476837158	10	100	120.00000476837158	
24153	XH3046A-4	XH3046A		面料	罗纹2X2	配主布颜色	0.28999999165534973	15	100	28.999999165534973	
24153	XH3046A-4	XH3046A	利泰辅料	辅料	四合扣（直径1.5CM)	配主布颜色	7	3	100	700	
24154	XQ068-希音样板-1	XQ068	华成里布行	辅料	9088 棉里布	黑色	0.03999999910593033	15	1	0.03999999910593033	
24154	XQ068-希音样板-1	XQ068	东莞市虎门永恒拉链厂	辅料	3号隐形拉链	黑色24寸	1	10	1	1	
24154	XQ068-希音样板-1	XQ068	嘉丰松紧带	辅料	橡筋	黑色1/4宽	0.36000001430511475	10	1	0.36000001430511475	
24155	YQ270-希音样板-3	YQ270		辅料	5号隐形拉链	黑色12寸	1	3	1	1	
24156	YQ265-希音样板-1	YQ265		辅料	橡筋	白色	1	3	1	1	
24157	YQ267-希音样板-1	YQ267		辅料	1/4宽橡筋	白色	0.800000011920929	15	1	0.800000011920929	
24157	YQ267-希音样板-1	YQ267		辅料	3号隐形拉链18寸	黑色	1	3	1	1	
24158	YQ262-希音样板-1	YQ262		辅料	橡筋	白色/2.5寸	0.5	3	1	0.5	
24160	AM062-希音样板-1	AM062		里布	韩国里布	黑色	0.30000001192092896	10	1	0.30000001192092896	
24161	PDDA182-3	PDDA182		主面料	鸿丰纺织	白色	1.090000033378601	10	100	109.00000333786011	
24161	PDDA182-3	PDDA182		面料	里布	白色	0.6399999856948853	10	100	63.999998569488525	
24162	PDD071S-5	PDD071S		主面料	新盛马布业	绿色	1.4199999570846558	10	110	156.19999527931213	
24162	PDD071S-5	PDD071S		里布	四面弹里布	配主布色	1.149999976158142	10	110	126.49999737739563	
24162	PDD071S-5	PDD071S		辅料	扣子	1.8cm	3	3	110	330	
24162	PDD071S-5	PDD071S		辅料	扣子	配主布色1.5	6	3	110	660	
24162	PDD071S-5	PDD071S		辅料	肩棉	黑色	1	3	110	110	
24163	PDD071K-5	PDD071K		主面料	新盛马布业	绿色	1.1299999952316284	10	110	124.29999947547913	
24163	PDD071K-5	PDD071K		辅料	裤子拉链	配主布色297号色	1	3	110	110	
24163	PDD071K-5	PDD071K		辅料	扣子	花色1.8cm	3	3	110	330	
24163	PDD071K-5	PDD071K		辅料	橡筋	黑色1 3/4	0.5	10	110	55	
24164	PDD106Q-3	PDD106Q		主面料	华信纺织2386#100D精品四面弹	棕底豹纹	0.49000000953674316	10	100	49.000000953674316	
24164	PDD106Q-3	PDD106Q		里布	里布	配主料颜色	0.41999998688697815	10	100	41.999998688697815	
24165	PDD106S-3	PDD106S		主面料	华信纺织2386#100D精品四面弹	棕底豹纹	1.440000057220459	10	100	144.0000057220459	
24165	PDD106S-3	PDD106S		里布	里布	配主布色	1.159999966621399	10	100	115.99999666213989	
24165	PDD106S-3	PDD106S		辅料	扣子2CM	金属金色	2	3	100	200	
24165	PDD106S-3	PDD106S		辅料	肩棉	黑色	1	3	100	100	
24166	PDD147-4	PDD147		主面料	新林智纺织	白色	1.309999942779541	10	160	209.59999084472656	
24166	PDD147-4	PDD147		辅料	3号隐形拉链	白色	1	3	160	160	
24167	PDDW151-5	PDDW151		主面料	广州新盛	黑色	1	10	100	100	
24167	PDDW151-5	PDDW151		辅料	扣子	黑色2cm	1	3	100	100	
24167	PDDW151-5	PDDW151		辅料	3号隐形拉链	配主布色12寸	1	3	100	100	
24168	DH949-1	DH949	华胜蜡布	主面料	蜡布	颜色1	3.049999952316284	15	120	365.9999942779541	
24168	DH949-1	DH949	华顺橡筋	辅料	丈根3/8宽	黑色	0.550000011920929	15	120	66.00000143051147	
24168	DH949-1	DH949	前卫衬朴	辅料	针织朴	黑色	0.20000000298023224	10	120	24.00000035762787	
24168	DH949-1	DH949	华顺橡筋	辅料	丈根1/4	黑色	0.550000011920929	15	120	66.00000143051147	
24169	PDDA215-1	PDDA215		主面料	旭丰纺织货号R536	印花网布	1.4500000476837158	10	1	1.4500000476837158	
24169	PDDA215-1	PDDA215		里布	巨鑫布业	黑色	0.8299999833106995	10	1	0.8299999833106995	
24170	PDDA222-1	PDDA222		主面料	鸿豊纺织	白色	0.9200000166893005	10	1	0.9200000166893005	
