13626	AL200	辅料	东莞市虎门永恒拉链厂	裤子拉链	配主布颜色		1	3	0.40	0.40	
13626	AL200	辅料	利泰辅料	摇头扣	黑色		1	3	1.00	1.00	
13635	AL201	主面料	德盛针织	德盛针织	5#象牙白	190	0.3	15	17.00	17.00	
13635	AL201	辅料	创亿辅料（橡筋）	丈根1 5/8宽	白色（定做）		1	10	2.50	2.50	
13650	AL203	主面料	巨丰纺织	巨丰纺织	黑色	180	0.9	10	22.00	22.00	
13650	AL203	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	170	0.03	15	40.00	40.00	
13650	AL203	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13650	AL203	辅料	华顺橡筋	透明带1/4			0.7	10	0.15	0.15	
13646	AL204	主面料		蜡染棉大卫衣	32#绿色	180	1	15	25.00	25.00	
13646	AL204	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	120	0.03	15	40.00	40.00	
13646	AL204	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13660	AL205	主面料	新鹏宇	新鹏宇针织	12#杏色			0	0.00	0.00	
13660	AL205	辅料	添彩纽扣	扣子	1.1CM白色		3	3	0.12	0.12	
13677	AL206	主面料	德盛针织	德盛针织	2#杏色	180	1.38	15	27.50	27.50	
13677	AL206	面料	祥盛罗纹	罗纹2X2	配主布颜色	120	0.28	15	40.00	40.00	
13677	AL206	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13677	AL206	辅料	棉绳 恒发辅料	帽绳	白色		1	3	2.00	2.00	
13678	AL207	主面料	嘉亿纺织	嘉亿布行	4#白色	175	0.68	15	19.00	19.00	
13678	AL207	辅料	棉绳 恒发辅料	即便条	白色		2.8	15	0.50	0.50	
13678	AL207	辅料	前卫衬朴	30D雪纺朴	白色		0.6	10	2.20	2.20	
13678	AL207	辅料	添彩纽扣	扣子	1.5CM（染主布颜色）蓝色（心是圆）			0	0.12	0.12	
13679	AL208	主面料	嘉亿纺织	嘉亿布行	4#白色	165	0.38	15	19.00	19.00	
13679	AL208	辅料	华顺橡筋	丈巾1 1/2宽	白色		0.7	15	0.50	0.50	
13679	AL208	辅料	棉绳 恒发辅料	即便条	白色		1.2	15	0.50	0.50	
13662	AL209	主面料	巨丰纺织	巨丰纺织	牙白	180	0.90	15	0.00	0.00	
13662	AL209	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	165	0.025	15	40.00	40.00	
13662	AL209	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13662	AL209	辅料	华顺橡筋	透明带1/4			0.65	10	0.15	0.15	
13681	AL210	主面料	新鹏宇	新鹏宇针织	棕色	150	1.05	15	26.50	26.50	
13681	AL210	辅料		人字带	配主布颜色		0.35	10	0.50	0.50	
13682	AL211	主面料	新鹏宇	新鹏宇针织	16#棕色	170	0.95	15	30.00	30.00	
13682	AL211	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13683	AL212	主面料	祥盛罗纹	巨丰纺织	25#绿色	180	0.9	15	20.00	20.00	
13683	AL212	面料	祥盛罗纹	祥盛罗纹 1*1 32支罗纹，	配主布颜色	165	0.03	15	40.00	40.00	
13713	AL213	主面料		丰远布行	活性黑色	168	0.58	15	21.50	21.50	
13887	AL214	主面料	德盛针织	德盛针织	23#活性黑	180	1.29	10	32.50	32.50	
13887	AL214	面料	祥盛罗纹	罗纹2X2	配主布颜色	120	0.23	15	40.00	40.00	
13887	AL214	辅料	棉绳 恒发辅料	人字带	配主布颜色		0.35	10	0.50	0.50	
13887	AL214	辅料	利泰辅料	鸡眼+胶垫	0.6CM银色		2	5	0.07	0.07	
13887	AL214	辅料	棉绳 恒发辅料	帽绳	配主布色（银色头）		1	3	2.00	2.00	
