A	裁至包装	1.80	0.90
B	裁至包装	1.80	0.96
C	车缝至包装	1.60	0.95
D	车缝	2.00	0.95
E	车缝	1.40	0.94
F	由头到尾	2.30	1.00
G	裁至车缝	1.60	0.00
H	车缝	1.60	0.96
J	车缝	1.70	0.00
